NAME	DESCRIPTION	ctrl_1	ctrl_2	ctrl_3	exp_1	exp_2	exp_3
ENSMUSG00000079311		47.6690517533897	52.713612244442	46.6009523890422	45.9376261508211	62.6641350663415	40.0266505681558
ENSMUSG00000046991		35.0221604718782	25.8400060021775	23.7092564786355	48.869815054065	41.7760900442277	61.7802650073709
ENSMUSG00000092577		5.83702674531303	0	3.27024227291524	0	0	1.74028915513721
ENSMUSG00000050088		1221.88426535219	1145.22906601651	1098.80140369952	998.899019705089	991.485870383003	1051.13464970287
ENSMUSG00000023883		7495.71517877281	7903.94103594604	7162.64813825261	8023.4462355764	6920.90558399372	7186.5240661391
ENSMUSG00000116953		4.86418895442752	2.0672004801742	7.35804511405929	2.9321889032439	1.39253633480759	3.48057831027442
ENSMUSG00000036552		219.861340740124	220.156851138552	238.727685922813	183.750504603285	189.384941533832	148.794722764231
ENSMUSG00000116655		12.6468912815116	4.13440096034839	5.72292397760167	16.6157371183821	30.6357993657669	13.9223132410977
ENSMUSG00000097624		14.5925668632826	8.26880192069679	11.4458479552033	9.77396301081301	4.17760900442277	9.57159035325465
ENSMUSG00000116851		29.1851337265651	27.9072064823517	29.4321804562372	19.547926021626	16.7104360176911	16.5327469738035
ENSMUSG00000116647		1.94567558177101	1.0336002400871	1.63512113645762	0	0	0.870144577568604
ENSMUSG00000014773		502.957137887806	532.304123644856	539.589975031015	582.528195444455	551.444388583805	678.712770503511
ENSMUSG00000014763		914.467523432374	952.979421360305	918.120518120954	917.775126715341	885.653108937626	870.144577568604
ENSMUSG00000116718		27.2394581447941	28.9408067224388	21.2565747739491	19.547926021626	36.2059447049973	31.3252047924697
ENSMUSG00000116985		2.91851337265651	2.0672004801742	1.63512113645762	0	1.39253633480759	1.74028915513721
ENSMUSG00000014769		5709.58499470703	5180.40440331654	5455.58167179085	5135.24016588115	4553.59381482082	4895.43339340097
ENSMUSG00000014767		660.556860011258	715.251366140272	648.325530605446	576.663817637967	586.257796953995	608.231059720454
ENSMUSG00000116949		1.94567558177101	3.1008007202613	5.72292397760167	5.8643778064878	2.78507266961518	5.22086746541162
ENSMUSG00000051977		109.930670370062	119.897627850103	109.553116142661	125.106726538406	133.683488141528	137.482843255839
